Day,Home Player,Away Player,Result,Game Log
1,Adam Novák,Charlie Wilson,2-5,0d5a272b-15c5-4f75-a315-43f860523511
1,Sofia Martinez,Lukas Kazlauskas,2-5,f6febe12-04e2-408b-85e4-4099c6cab9ae
1,Hugo Fernández,Ryan Fraser,4-5,f258338d-3486-491e-8a65-4a532770f7a9
1,Owen Jones,Harry Jones,5-4,b7d056a5-8a60-45de-807a-2966a6d47f41
1,Louis Dubois,Gareth Williams,3-5,eec9274e-5a8c-485f-8f30-a10981813cd8
2,Adam Novák,Lukas Kazlauskas,5-4,cc1cebf5-db9c-40f0-aadf-682a6cdf1377
2,Charlie Wilson,Ryan Fraser,4-5,436d2840-a0cb-4426-a68e-bd555baed149
2,Sofia Martinez,Harry Jones,5-4,f1cbe8dd-2388-47ca-96dd-61ddadf9f26e
2,Hugo Fernández,Gareth Williams,3-5,58695349-feea-494e-8f34-458d25d9dcd2
2,Owen Jones,Louis Dubois,3-5,a5a65061-f8c4-43c9-beab-1dc5133fc7ed
3,Adam Novák,Ryan Fraser,5-0,cc179528-3735-4d1e-b70d-e913cfb5609b
3,Lukas Kazlauskas,Harry Jones,5-1,a47b90b7-4d58-4c29-938d-0c12746398a0
3,Charlie Wilson,Gareth Williams,2-5,b2db1b9a-43af-4a91-b69a-276ff926177a
3,Sofia Martinez,Louis Dubois,5-2,45ab202d-7f17-4179-be7a-542eae66914d
3,Hugo Fernández,Owen Jones,5-2,5af408c5-2438-4ea5-8a4a-f1158836c5c5
4,Adam Novák,Harry Jones,3-5,cc1c7912-e4ab-4b08-a336-29f74606e833
4,Ryan Fraser,Gareth Williams,5-3,1b10af85-d1e0-4910-a320-c1d94b551728
4,Lukas Kazlauskas,Louis Dubois,5-3,cd9e6d64-175a-4203-b78d-092240065bc3
4,Charlie Wilson,Owen Jones,5-3,7baef5c2-8fee-4e10-8d7f-4d75e48824f9
4,Sofia Martinez,Hugo Fernández,5-4,ff83f7fa-9c35-43dc-b427-4137f05a9ed1
5,Adam Novák,Gareth Williams,5-2,3c92847c-a203-462b-8e0c-820012689df0
5,Harry Jones,Louis Dubois,5-0,fb81f918-6c1b-4096-b12b-1ab6fbe621c7
5,Ryan Fraser,Owen Jones,3-5,08a5a246-2efb-46be-92ad-fe4dd4cf20fc
5,Lukas Kazlauskas,Hugo Fernández,5-4,8cd9832e-2878-4008-a3ea-b3326754ece3
5,Charlie Wilson,Sofia Martinez,2-5,0c5316f1-c88d-4774-b8ed-0e5174a7d84d
6,Adam Novák,Louis Dubois,3-5,556edf44-7932-443a-8f1b-34047f9c03dc
6,Gareth Williams,Owen Jones,5-4,a0a594bd-0844-40fa-8c6c-ff4129b9cfdf
6,Harry Jones,Hugo Fernández,4-5,44df6b13-83ea-43fa-a496-02f6981bc068
6,Ryan Fraser,Sofia Martinez,5-1,5545c164-44d6-425d-b11a-26e8a27ddcfc
6,Lukas Kazlauskas,Charlie Wilson,5-2,9b79e47f-2001-4b5f-a4b6-9d3d2cda4ed8
7,Adam Novák,Owen Jones,5-1,dada4f80-e788-4cb3-8223-2bb90a9dde6e
7,Louis Dubois,Hugo Fernández,5-3,8333aa68-4ce0-4619-8f27-957ae3f2195d
7,Gareth Williams,Sofia Martinez,5-3,550c4834-b7ae-4010-889b-c75304fcebbe
7,Harry Jones,Charlie Wilson,4-5,182baf6f-a9fb-47e7-8286-e46501cd5c10
7,Ryan Fraser,Lukas Kazlauskas,3-5,a92a020a-9bb8-41f5-8cda-98a2b9512b3f
8,Adam Novák,Hugo Fernández,5-1,4a9767e5-7efb-408c-8e91-8490b8bb8c37
8,Owen Jones,Sofia Martinez,1-5,244559e1-59f7-45bc-a09a-8476fdbaccd8
8,Louis Dubois,Charlie Wilson,1-5,d96fcf18-0de3-4821-8651-c2a9ad5247ea
8,Gareth Williams,Lukas Kazlauskas,5-1,8dba0022-f1fd-4375-bbec-ea3c22adadbe
8,Harry Jones,Ryan Fraser,5-2,34c4d11d-374e-48aa-a580-ff14acd61283
9,Adam Novák,Sofia Martinez,5-4,8caa3f45-3efd-41d2-83f0-f871c3ffb4ee
9,Hugo Fernández,Charlie Wilson,1-5,60ab9dde-629e-430c-bdb6-5a1ffcdb0d6e
9,Owen Jones,Lukas Kazlauskas,5-2,7d111e07-f695-4534-ad38-2f13f3d862d3
9,Louis Dubois,Ryan Fraser,5-0,8a583ca9-0b82-4c00-a535-cf15ba83aa94
9,Gareth Williams,Harry Jones,2-5,07f48018-3bc7-45a7-8b6b-9d1ddb97e9d3
10,Charlie Wilson,Adam Novák,5-3,67860a93-8432-47c4-a743-63b2894f42a8
10,Lukas Kazlauskas,Sofia Martinez,2-5,624c9208-cd79-4997-8675-494080635c40
10,Ryan Fraser,Hugo Fernández,0-5,639d594a-1aff-4814-942c-51b342b47028
10,Harry Jones,Owen Jones,5-1,a5c91fe7-4cb6-4621-9be9-448fe23d28be
10,Gareth Williams,Louis Dubois,2-5,8b8fd7ac-cdb9-4082-b970-96577a23fd9f
11,Lukas Kazlauskas,Adam Novák,4-5,6f8528c9-dc2a-40ec-b668-3b99781cab1d
11,Ryan Fraser,Charlie Wilson,1-5,837de3ba-4380-487a-9847-58bb360eafa8
11,Harry Jones,Sofia Martinez,5-3,6b6ba096-9725-4f1d-8ab9-e8f6b9707191
11,Gareth Williams,Hugo Fernández,5-3,94726a42-f969-41c9-8932-716dfde63aeb
11,Louis Dubois,Owen Jones,5-2,16c8ae31-e10f-4f0e-bc50-62230721c70c
12,Ryan Fraser,Adam Novák,0-5,1ebead91-3005-47e3-b05e-2d9771bbdfc9
12,Harry Jones,Lukas Kazlauskas,4-5,042a8925-8d23-4fcd-a797-106178f931c6
12,Gareth Williams,Charlie Wilson,5-2,50b37a43-9199-4e48-b3ae-b8bd701a43ce
12,Louis Dubois,Sofia Martinez,3-5,e21fa949-bc2e-4e7e-92c1-6cebed637be7
12,Owen Jones,Hugo Fernández,1-5,478bc2eb-c84a-4f6a-95e4-ec709b0afe3d
13,Harry Jones,Adam Novák,,
13,Gareth Williams,Ryan Fraser,,
13,Louis Dubois,Lukas Kazlauskas,,
13,Owen Jones,Charlie Wilson,,
13,Hugo Fernández,Sofia Martinez,,
14,Gareth Williams,Adam Novák,,
14,Louis Dubois,Harry Jones,,
14,Owen Jones,Ryan Fraser,,
14,Hugo Fernández,Lukas Kazlauskas,,
14,Sofia Martinez,Charlie Wilson,,
15,Louis Dubois,Adam Novák,,
15,Owen Jones,Gareth Williams,,
15,Hugo Fernández,Harry Jones,,
15,Sofia Martinez,Ryan Fraser,,
15,Charlie Wilson,Lukas Kazlauskas,,
16,Owen Jones,Adam Novák,,
16,Hugo Fernández,Louis Dubois,,
16,Sofia Martinez,Gareth Williams,,
16,Charlie Wilson,Harry Jones,,
16,Lukas Kazlauskas,Ryan Fraser,,
17,Hugo Fernández,Adam Novák,,
17,Sofia Martinez,Owen Jones,,
17,Charlie Wilson,Louis Dubois,,
17,Lukas Kazlauskas,Gareth Williams,,
17,Ryan Fraser,Harry Jones,,
18,Sofia Martinez,Adam Novák,,
18,Charlie Wilson,Hugo Fernández,,
18,Lukas Kazlauskas,Owen Jones,,
18,Ryan Fraser,Louis Dubois,,
18,Harry Jones,Gareth Williams,,
